Date, Close/Last, Volume, Open, High, Low
01/20/2021, $57.71, 94983630, $59.85, $60.09, $56.19
01/19/2021, $58.44, 99561080, $58.21, $59.005, $56.41
01/15/2021, $56.27, 132247900, $59.84, $60.22, $55.67
01/14/2021, $60.87, 99338400, $62.63, $63.23, $60.04
01/13/2021, $62.15, 116059200, $62.94, $64.4069, $61.41
01/12/2021, $62.04, 184854200, $61.42, $64.13, $60.42
01/11/2021, $62.7, 279770300, $64.95, $66.99, $62.19
01/08/2021, $58.92, 218512800, $57.76, $59.31, $55.88
01/07/2021, $54.28, 119429200, $53.05, $54.61, $52.35
01/06/2021, $50.5, 176397700, $54.02, $55.2764, $49.08
01/05/2021, $53.2, 147474800, $51.97, $53.75, $50.4
01/04/2021, $53.49, 213109700, $51.2, $54.4469, $50.6701
12/31/2020, $48.74, 129344300, $48.46, $50.5, $47.77
12/30/2020, $48.38, 116691700, $46.5, $48.38, $45.72
12/29/2020, $46.14, 120689900, $43.7, $46.275, $42.2262
12/28/2020, $44.06, 105078000, $46.67, $46.85, $43.67
12/24/2020, $45.77, 60582520, $46.88, $47.1299, $45.35
12/23/2020, $47.01, 81247870, $47.48, $48.36, $45.81
12/22/2020, $47.58, 117428400, $49.61, $49.84, $46.53
12/21/2020, $48.95, 132558100, $45.63, $49.49, $45.02
12/18/2020, $46.72, 126251100, $45.89, $48, $45.52
12/17/2020, $46, 130003700, $45.17, $46.05, $43.895
12/16/2020, $44.67, 120109600, $44.25, $45.26, $43.33
12/15/2020, $43.5, 132336900, $42.47, $43.84, $41.27
12/14/2020, $40.98, 171598200, $39.94, $41.48, $39.51
12/11/2020, $41.98, 147076100, $42.48, $43.63, $41.26
12/10/2020, $45.22, 107376800, $42.44, $45.67, $41.89
12/09/2020, $44.01, 121387900, $47.08, $47.2, $42.96
12/08/2020, $46.56, 115799600, $47.21, $48.3, $45.67
12/07/2020, $45.11, 165048500, $42.5, $46.32, $42.41
12/04/2020, $43.04, 191969900, $44.66, $45.16, $41.65
12/03/2020, $45.35, 173424000, $47.9, $48.65, $45.21
12/02/2020, $47.98, 313028300, $40.16, $48, $38.43
12/01/2020, $45.36, 248227000, $52.02, $52.1, $44.05
11/30/2020, $50.53, 179765400, $54.21, $54.39, $48.18
11/27/2020, $54, 105795100, $54.86, $55.55, $52.6
11/25/2020, $53.69, 204508500, $49.98, $53.99, $49.25
11/24/2020, $53.51, 243669700, $56.99, $57.2, $51.5
11/23/2020, $55.38, 270203000, $50.86, $55.7, $50.48
11/20/2020, $49.25, 209106300, $48.27, $50.59, $47.88
11/19/2020, $48.45, 233779100, $45.36, $48.92, $44.68
11/18/2020, $45.06, 271678300, $45.75, $46.7213, $42.5
11/17/2020, $46.59, 345578500, $47.57, $49.37, $44.96
11/16/2020, $45.58, 306209100, $41.115, $45.85, $41.1
11/13/2020, $44.56, 579069900, $51.29, $54.2, $40.55
11/12/2020, $48.3, 348326300, $44.475, $49.35, $43.95
11/11/2020, $43.08, 179581200, $39.71, $43.23, $38.64
11/10/2020, $41.55, 237403600, $44.5, $45.2, $38.11
11/09/2020, $44.02, 218733300, $41.65, $45.29, $40.38
11/06/2020, $41.63, 288784300, $41.09, $43.3, $40.05
11/05/2020, $42.35, 302472600, $38.78, $42.49, $38.25
11/04/2020, $37.71, 339385900, $37.44, $39.75, $35.82
11/03/2020, $35.5, 217608100, $33.57, $35.87, $32.78
11/02/2020, $33.32, 265719900, $33.95, $34.94, $31.68
10/30/2020, $30.58, 136902600, $31.39, $31.59, $30.03
10/29/2020, $31.99, 214034700, $28.52, $32.2, $28.32
10/28/2020, $27.51, 89374940, $27.92, $28.1, $26.51
10/27/2020, $28.44, 104257700, $26.21, $28.46, $26.03
10/26/2020, $26.01, 72610350, $26.61, $27.35, $25.46
10/23/2020, $27.16, 51784050, $27.37, $27.42, $26.48
10/22/2020, $27.38, 72173310, $28.15, $28.28, $26.81
10/21/2020, $27.86, 65357930, $27.9, $28.43, $27.385
10/20/2020, $27.96, 105233400, $27.42, $28.3, $27.05
10/19/2020, $27.63, 115708700, $28.21, $28.56, $27.22
10/16/2020, $28.48, 186764700, $29.18, $29.4, $27.94
10/15/2020, $28.07, 385210600, $27.2, $29.23, $25.78
10/14/2020, $26.5, 387903300, $23.98, $26.96, $23.73
10/13/2020, $21.62, 42581460, $21.86, $21.97, $21.17
10/12/2020, $21.85, 45476830, $21.88, $22.18, $21.55
10/09/2020, $21.47, 37328970, $21.62, $21.74, $21.32
10/08/2020, $21.44, 77719580, $22.05, $22.45, $21.29
10/07/2020, $21.56, 59354280, $21.06, $21.77, $20.79
10/06/2020, $20.67, 73217120, $21.71, $21.94, $20.6
10/05/2020, $21.59, 60860110, $21.66, $21.92, $21.07
10/02/2020, $21.18, 92713560, $20.83, $22.2, $20.8
10/01/2020, $21.76, 79117100, $21.68, $21.96, $20.83
09/30/2020, $21.22, 183530500, $21.72, $22.59, $20.76
09/29/2020, $20.85, 164378500, $18.76, $21.12, $18.71
09/28/2020, $18.81, 42786230, $18.88, $19.16, $18.43
09/25/2020, $18.32, 44122150, $18.02, $18.62, $17.95
09/24/2020, $17.85, 71069510, $17.32, $18.39, $16.75
09/23/2020, $17.96, 70568090, $19.22, $19.36, $17.8
09/22/2020, $19.23, 61061120, $18.48, $19.45, $18.37
09/21/2020, $18.81, 75969550, $19.05, $19.265, $17.66
09/18/2020, $19.41, 54885510, $19.72, $19.88, $18.94
09/17/2020, $19.3, 55186590, $18.26, $19.33, $18.08
09/16/2020, $19.01, 57845790, $19.27, $19.54, $18.52
09/15/2020, $19.19, 111630500, $19.1, $20.25, $18.88
09/14/2020, $18.73, 68234900, $18.18, $18.78, $17.9
09/11/2020, $17.97, 55373490, $18, $18.1, $17.45
09/10/2020, $17.74, 79679830, $18.49, $18.72, $17.49
09/09/2020, $18.09, 90988420, $17.9, $18.63, $17.7
09/08/2020, $17.03, 89624570, $17.17, $17.86, $16.51
09/04/2020, $17.98, 163329800, $18.54, $19.18, $15.61
09/03/2020, $18.7, 128358400, $19.09, $19.84, $18.3526
